47298	2284	1
47298	4003	1
47298	47299	1
2473	1079	1
2473	1727	1
2473	1997	1
2473	2009	1
2473	2145	1
2473	2204	1
13543	2473	1
2473	3848	1
2473	3903	1
2473	4004	1
2473	4203	1
2473	4758	1
15218	15211	1
15218	3674	1
15218	3717	1
15218	15498	1
15218	3897	1
38777	15218	1
15218	42936	1
9427	15218	1
4911	15218	1
2615	32187	1
1342	2615	1
14871	2615	1
2615	32489	1
1770	2615	1
14873	2615	1
3469	2615	1
33765	2615	1
2615	4030	1
2615	4188	1
21473	2615	1
2615	4274	1
2615	4569	1
2615	33755	1
2615	53511	1
2615	21472	1
4780	2615	1
4942	2615	1
21471	2615	1
48475	8252	1
8252	20649	1
1785	8252	1
1786	8252	1
1787	8252	1
8252	2203	1
2350	8252	1
19934	8252	1
8252	2604	1
19989	8252	1
2815	8252	1
2839	8252	1
2840	8252	1
8252	2851	1
8252	6915	1
19990	8252	1
4164	8252	1
4695	8252	1
4801	8252	1
3837	8252	1
18271	8252	1
1789	8252	1
9120	1189	1
1799	9120	1
9120	1859	1
9120	43533	1
9120	8615	1
9120	10802	1
17189	9120	1
2760	9120	1
9120	20661	1
9120	48505	1
9120	3560	1
9120	3575	1
9120	3605	1
3894	9120	1
9120	2540	1
23099	9120	1
9120	53897	1
9120	1214	1
9120	4436	1
9120	17039	1
9120	7294	1
9120	43208	1
9120	6401	1
9120	4849	1
50364	24553	1
24553	28208	1
49919	24553	1
49918	24553	1
24553	41086	1
24553	13925	1
24553	50365	1
24553	50368	1
24553	18898	1
24553	50351	1
17168	24553	1
24553	10371	1
24553	50354	1
24553	2895	1
20635	24553	1
40453	24553	1
24553	25045	1
24553	21470	1
24553	9794	1
24553	50370	1
24553	37979	1
24553	43525	1
41082	24553	1
43410	24553	1
41067	24553	1
24553	50913	1
24553	50352	1
4218	24553	1
24553	28188	1
24553	50369	1
24553	50911	1
33644	24553	1
43377	24553	1
24553	1134	1
24553	9802	1
24553	9989	1
9901	24553	1
24553	21472	1
4761	24553	1
50363	24553	1
1040	18354	1
34499	24485	1
24485	25288	1
3718	24485	1
23785	24485	1
21178	9992	1
1829	9992	1
9992	52869	1
2309	9992	1
9992	15353	1
3698	9992	1
9992	13389	1
49777	9992	1
9992	43256	1
33273	9992	1
4124	9992	1
9992	21250	1
9992	4614	1
1234	9992	1
4594	9992	1
12329	9992	1
21178	10844	1
1353	10844	1
10844	1354	1
12843	10844	1
15222	10844	1
16036	10844	1
17351	10844	1
17058	10844	1
1862	10844	1
10844	18240	1
1416	10844	1
1941	10844	1
10844	1987	1
2293	10844	1
2308	10844	1
2313	10844	1
10844	18898	1
12651	10844	1
2772	10844	1
10844	2776	1
39145	10844	1
10844	3507	1
15257	10844	1
3602	10844	1
3926	10844	1
1080	10844	1
38444	10844	1
51402	10844	1
15440	10844	1
4126	10844	1
10844	1464	1
1930	10844	1
13130	10844	1
4584	10844	1
15191	10844	1
11145	10844	1
10844	3532	1
50632	48475	1
50632	1518	1
50632	2705	1
50632	2754	1
50632	4177	1
50632	4367	1
50632	53006	1
50632	50906	1
50632	43208	1
50632	4718	1
50632	1542	1
50632	4915	1
49786	15146	1
8950	49786	1
43958	49786	1
14937	49786	1
9791	49786	1
19848	49786	1
49786	14836	1
49786	49864	1
49786	49860	1
49786	15160	1
50861	49786	1
49786	14935	1
19849	49786	1
49786	2195	1
49786	14942	1
2377	49786	1
49786	33293	1
49786	49865	1
49786	2651	1
49786	49661	1
49786	5554	1
49786	15402	1
49786	29368	1
49786	35024	1
19843	49786	1
17376	49786	1
49786	3464	1
23259	49786	1
49786	43053	1
49786	44271	1
49786	42254	1
49786	43052	1
49786	52889	1
49786	15384	1
49786	15147	1
9797	49786	1
49786	19850	1
49786	49670	1
49786	20458	1
49786	9805	1
49786	49674	1
44846	49786	1
